Grid size
X: 118
Y: 81

(x,y,water/land,city)
0: Water, 1: Land (Not Florida), 2: Land (Florida)
0: No city, >0 city ID

(8,78,2,0)
(32,79,2,0)
(56,44,0,0)
(59,55,0,0)
(73,41,0,0)
(61,7,0,0)
(93,10,1,0)
(10,16,0,0)
(59,45,0,0)
(1,4,0,0)
(55,46,0,0)
(5,9,0,0)
(37,80,2,0)
(22,74,2,0)
(8,79,2,0)
(6,4,0,0)
(40,50,2,0)
(65,24,1,0)
(9,25,0,0)
(34,57,2,0)
(59,20,1,0)
(55,10,0,0)
(86,28,0,0)
(5,9,0,0)
(75,31,0,0)
(62,25,1,0)
(51,31,1,0)
(4,8,0,0)
(42,35,1,0)
(1,1,0,0)
(82,10,1,0)
(45,49,2,0)
(29,27,1,0)
(64,47,0,0)
(65,46,0,0)
(27,34,1,0)
(44,47,2,0)
(54,55,0,0)
(87,16,1,0)
(35,79,2,0)
(56,45,0,0)
(57,41,0,0)
(64,18,1,0)
(33,58,2,0)
(33,62,2,0)
(56,10,0,0)
(6,9,0,0)
(27,75,2,0)
(44,47,2,0)
(44,34,1,0)
(19,73,0,0)
(37,53,2,0)
(32,64,2,0)
(18,81,0,0)
(74,11,0,0)
(35,58,2,0)
(56,55,0,0)
(29,79,2,0)
(43,64,2,0)
(41,45,2,0)
(84,28,0,0)
(6,1,0,0)
(37,31,1,0)
(63,48,0,0)
(5,24,0,0)
(56,40,0,0)
(38,77,2,0)
(76,8,0,0)
(69,37,0,0)
(24,79,2,0)
(12,19,0,0)
(89,26,0,0)
(67,43,0,0)
(47,33,1,0)
(28,35,1,0)
(9,13,0,0)
(82,14,1,0)
(2,24,0,0)
(87,7,1,0)
(43,35,1,0)
(32,62,2,0)
(39,35,1,0)
(87,17,1,0)
(92,17,1,0)
(1,3,0,0)
(53,23,1,0)
(31,29,1,0)
(92,17,1,0)
(79,10,1,0)
(91,9,1,0)
(1,5,0,0)
(65,39,0,0)
(58,19,1,0)
(64,44,0,0)
(41,30,1,0)
(83,11,1,0)
(8,25,0,0)
(57,41,0,0)
(66,18,1,0)
(37,52,2,0)
(118,9,0,0)
(81,31,0,0)
(0,1,0,0)
(58,10,0,0)
(104,11,0,0)
(57,42,0,0)
(72,21,1,0)
(80,25,0,0)
(80,25,0,0)
(7,10,0,0)
(20,80,2,0)
(90,8,1,0)
(36,36,0,0)
(48,32,1,0)
(37,44,0,0)
(39,75,2,0)
(15,81,0,0)
(63,47,0,0)
(104,10,0,0)
(39,73,2,0)
(95,16,1,0)
(42,46,2,0)
(10,78,2,0)
(70,35,1,0)
(67,24,1,0)
