Grid size
X: 118
Y: 81

(x,y,water/land,city)
0: Water, 1: Land (Not Florida), 2: Land (Florida)
0: No city, >0 city ID

(67,43,0,none)
(62,7,0,none)
(45,51,2,none)
(55,47,0,none)
(64,18,1,none)
(87,11,1,none)
(104,11,0,none)
(87,16,1,none)
(12,25,0,none)
(86,28,0,none)
(61,48,0,none)
(66,23,1,none)
(61,7,0,none)
(9,81,0,none)
(69,22,1,none)
(87,17,1,none)
(56,55,0,none)
(55,10,0,none)
(34,33,1,none)
(60,54,0,none)
(27,35,1,none)
(30,33,1,none)
(32,79,2,none)
(5,25,0,none)
(38,80,2,none)
(8,8,0,none)
(90,8,1,none)
(41,30,1,none)
(28,73,0,none)
(65,38,0,none)
(35,58,2,none)
(30,29,1,none)
(58,55,0,none)
(29,32,1,none)
(83,10,1,none)
(56,44,0,none)
(67,43,0,none)
(56,41,0,none)
(59,7,0,none)
(40,49,2,none)
(36,32,1,none)
(77,10,0,none)
(60,26,1,none)
(23,31,0,none)
(9,13,0,none)
(81,16,1,none)
(88,27,0,none)
(103,9,0,none)
(29,72,0,none)
(21,30,0,none)
(40,30,1,none)
(77,35,0,none)
(38,36,0,none)
(92,9,1,none)
(10,17,0,none)
(8,78,2,none)
(55,55,0,none)
(52,54,0,none)
(50,27,1,none)
(103,10,0,none)
(27,31,1,none)
(82,18,0,none)
(58,22,1,none)
(38,45,2,none)
(27,75,2,none)
(11,24,0,none)
(64,45,0,none)
(28,74,2,none)
(25,76,2,none)
(32,35,1,none)
(7,8,0,none)
(29,35,1,none)
(26,34,1,none)
(54,46,0,none)
(53,43,0,none)
(55,55,0,none)
(7,8,0,none)
(71,18,1,none)
(35,57,2,cape coral)
(80,26,0,none)
(46,34,1,none)
(64,44,0,none)
(35,57,2,cape coral)
(71,22,1,none)
(59,51,0,none)
(7,81,0,none)
(59,51,0,none)
(82,18,0,none)
(46,57,0,none)
(11,81,0,none)
(1,3,0,none)
(24,29,1,none)
(90,9,1,none)
(46,28,1,none)
(71,21,1,none)
(32,68,2,none)
(34,56,2,none)
(99,13,1,none)
(49,31,1,none)
(90,26,0,none)
(74,33,0,none)
(5,9,0,none)
(85,8,1,none)
(39,52,2,none)
(73,41,0,none)
(13,81,0,none)
(110,10,0,none)
(45,34,1,none)
(84,17,1,none)
(113,10,1,none)
(40,50,2,none)
(44,50,2,none)
(20,74,2,none)
(68,42,0,none)
(35,55,2,none)
(7,7,0,none)
(10,78,2,none)
(94,16,1,none)
(88,6,0,none)
(63,48,0,none)
(35,78,2,none)
(7,6,0,none)
(75,31,0,none)
(45,51,2,none)
(30,27,1,none)
